time_s,accX_counts,accY_counts,accZ_counts,comportamento
5.84617437200006,-14968,1556,3056,caminhada
5.85627369500003,-14736,1500,3032,caminhada
5.86637192500007,-14660,1528,3028,caminhada
5.87646843500011,-14568,1600,3188,caminhada
5.88656505000006,-14740,1880,3100,caminhada
5.896694529,-14904,1952,2988,caminhada
5.90679041400006,-15224,1888,3000,caminhada
5.9168940080001,-15468,1184,2932,caminhada
5.92699176800011,-15576,600,2644,caminhada
5.93708791400002,-16252,-268,2180,caminhada
5.94717817500009,-16464,-880,1776,caminhada
5.95727380000005,-16520,-1276,1268,caminhada
5.96736963300009,-17320,-72,1284,caminhada
5.97746083100003,-17896,808,960,caminhada
5.98755666400007,-18176,1348,684,caminhada
5.9976870810001,-18056,1768,40,caminhada
6.00778192500002,-17760,2084,844,caminhada
6.01787718500009,-17432,1984,336,caminhada
6.0279722890001,-16908,1748,844,caminhada
6.03806411200003,-16616,1460,948,caminhada
6.04815947700001,-16132,1036,1112,caminhada
6.05825369500008,-15468,704,1024,caminhada
6.0683424450001,-15164,544,1068,caminhada
6.07843327900002,-14628,200,1244,caminhada
6.08852192400002,-14232,-72,760,caminhada
6.09864708100008,-14164,-164,684,caminhada
6.10874197700002,-14108,-96,500,caminhada
6.11883218500009,-14356,-124,484,caminhada
6.12893197700009,-14288,8,524,caminhada
6.13902921600004,-14416,112,392,caminhada
6.14911801800008,-14512,300,448,caminhada
6.15920885200001,-14492,580,332,caminhada
6.16930650800009,-14736,812,372,caminhada
6.17940348700006,-14840,936,344,caminhada
6.18949192400009,-14928,980,548,caminhada
6.19961458100011,-14924,804,488,caminhada
6.20970374700005,-15128,868,800,caminhada
6.21979484100007,-15000,924,800,caminhada
6.22988676800003,-15732,1364,748,caminhada
6.23997838300011,-14428,1240,-92,caminhada
6.25007551800002,-14608,1416,-124,caminhada
6.26016682000011,-14976,1568,68,caminhada
6.27025932000004,-15144,1960,100,caminhada
6.28035150800008,-15512,1984,-100,caminhada
6.29044432000001,-16064,1980,-288,caminhada
6.30057275800004,-16812,1952,-440,caminhada
6.31066442400004,-17352,1940,-364,caminhada
6.3207562990001,-17976,2072,-652,caminhada
6.33084786200004,-18112,2156,-420,caminhada
6.34093885100003,-18168,2404,-140,caminhada
6.35102978900011,-18060,2384,32,caminhada
6.36112083100011,-18180,2108,456,caminhada
6.3712111430001,-17900,1664,528,caminhada
6.38130848700007,-17944,1484,216,caminhada
6.391398643,-18232,1460,152,caminhada
6.40152124700001,-18404,1512,84,caminhada
6.41161682000006,-19704,1696,988,caminhada
6.42171260100008,-19956,1080,2480,caminhada
6.4318036950001,-19536,-136,3592,caminhada
6.44189567400008,-18804,-1136,5364,caminhada
6.45198791400003,-18648,-2676,6368,caminhada
6.46207838300006,-19468,-4632,6600,caminhada
6.47216973700006,-19308,-5668,4820,caminhada
6.48226140300005,-17624,-3772,3596,caminhada
6.49235781000004,-15588,-936,2828,caminhada
6.5024805700001,-13532,2608,2408,caminhada
6.51257239300003,-12856,4196,1524,caminhada
6.5226629660001,-10804,5740,2424,caminhada
6.532754372,-9528,6668,3196,caminhada
6.54284525800006,-9496,6544,4776,caminhada
6.55293885100002,-10056,6108,6512,caminhada
6.5630311430001,-11484,3716,7324,caminhada
6.573127914,-13608,2128,7748,caminhada
6.58321916400007,-15864,628,7808,caminhada
6.59330984100006,-17124,-1904,7804,caminhada
6.60343379900007,-17952,-3084,8076,caminhada
6.61352557000009,-17664,-3040,6600,caminhada
6.62361671600002,-15832,-2760,5536,caminhada
6.63370781000003,-14692,-2492,4928,caminhada
6.64379916400003,-13644,-1800,3972,caminhada
6.65389067400008,-13864,-1260,3680,caminhada
6.66398088300002,-14192,-368,3180,caminhada
6.67407208100008,-14644,612,3664,caminhada
6.68416322600001,-15132,1496,4104,caminhada
6.69425504900005,-15596,1964,4560,caminhada
6.70437723700002,-16008,2024,4700,caminhada
6.7144681740001,-16464,1520,4760,caminhada
6.72455718500009,-16676,652,4260,caminhada
6.73476791400003,-16852,-560,4196,caminhada
6.74485994500003,-16528,-780,3780,caminhada
6.7549511950001,-14864,-1256,3592,caminhada
6.76504249700008,-15340,-1528,3536,caminhada
6.77513353900008,-14816,-1132,2812,caminhada
6.7852246330001,-15408,-792,2500,caminhada
6.79531489300007,-15224,-752,1820,caminhada
6.80543614300007,-15180,-256,1256,caminhada
6.8155272890001,-14828,508,980,caminhada
6.82561906000001,-14636,536,1808,caminhada
6.83570963300008,-13780,708,2148,caminhada
6.84580046600001,-14532,584,3508,caminhada
6.8558914030001,-14360,364,3488,caminhada
6.86598161200004,-14192,-264,3308,caminhada
6.87607254900001,-13752,-360,2556,caminhada
6.88616984100008,-12380,-700,1744,caminhada
6.89626577800004,-12256,-476,1748,caminhada
6.906393278,-12508,-672,1864,caminhada
6.916489372,-13032,-1108,1604,caminhada
6.9265864030001,-13048,-1508,1888,caminhada
6.93668281000009,-12632,-1272,1604,caminhada
6.94677853900009,-11764,-352,2168,caminhada
6.95687234100001,-14724,644,2184,caminhada
6.966966716,-14648,1184,2792,caminhada
6.97706197600007,-15296,1800,3684,caminhada
6.98715796600004,-16172,2268,3556,caminhada
6.99725307000006,-17812,2660,2660,caminhada
7.00738124700001,-18420,2600,2388,caminhada
7.01747708000005,-18504,2876,1848,caminhada
7.02757218500005,-19112,2656,1064,caminhada
7.03766624700006,-19504,1596,204,caminhada
7.04776161200005,-19700,72,-508,caminhada
7.05785406000007,-19772,-1264,-1024,caminhada
7.06795051800009,-19024,-2788,-1316,caminhada
7.07804103900003,-19172,-2820,-1036,caminhada
7.08813682000005,-17916,-472,236,caminhada
7.09823218500003,-17744,3308,2796,caminhada
7.10832504900009,-18348,6888,4716,caminhada
7.11841739300007,-20100,8908,7356,caminhada
7.12851249700009,-20100,9092,8972,caminhada
7.1386029140001,-18704,7136,9100,caminhada
7.14869504900003,-16352,3676,7992,caminhada
7.15878754900007,-14940,916,7612,caminhada
7.16887942400001,-13944,-784,7412,caminhada
7.17897629900006,-12680,-956,7348,caminhada
7.18907150700011,-10888,-1216,7136,caminhada
7.1991621840001,-10244,-1452,6976,caminhada
7.20929046600008,-10664,-1208,6848,caminhada
7.21938614300007,-12024,-724,6076,caminhada
7.22947734100001,-13884,844,5524,caminhada
7.23956843400003,-16712,2512,4260,caminhada
7.24966416400002,-18812,4368,3432,caminhada
7.25976067400006,-19456,5028,3596,caminhada
7.269851872,-19440,7888,6144,caminhada
7.27994333000004,-18772,7092,4336,caminhada
7.2900348930001,-17760,5804,5484,caminhada
7.30013072600002,-16048,4084,5192,caminhada
7.31025004900005,-15076,2424,4316,caminhada
7.32034010100006,-13212,248,3988,caminhada
7.33043202800002,-11624,-1524,3248,caminhada
7.34053004900011,-9888,-2884,3004,caminhada
7.35062119500003,-9224,-2888,1984,caminhada
7.36071260100005,-8804,-1764,2084,caminhada
7.37080395500004,-9688,-912,2588,caminhada
